0	0	0	0	2	0	2	1	0	0	0	0	0	2	2	2	2	8	0	0	4	4	9	13	0	0	0	0	0	4	1	1	4	11	18	13	0	0	0	0	0	0	0	8	8	
0	0	0	0	2	2	4	4	1	0	0	0	0	2	2	0	0	0	0	0	4	4	9	9	0	0	0	10	8	4	0	0	1	1	17	13	0	0	0	0	0	1	1	8	8	
0	0	0	0	2	2	3	4	3	0	0	0	0	2	2	0	0	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	2	8	14	
8	8	3	0	3	3	3	4	6	0	0	0	0	0	0	0	0	0	0	4	8	11	4	0	0	0	0	12	10	4	0	0	0	0	11	11	0	0	0	0	0	1	2	8	14	
9	8	3	0	3	4	9	6	9	0	0	0	0	0	0	0	0	0	0	5	5	11	0	0	0	0	17	17	12	0	0	0	0	0	0	0	0	0	0	6	0	2	2	1	5	
8	8	4	0	0	3	0	3	3	0	0	0	0	0	0	0	0	0	5	5	5	10	0	3	25	233	23	23	17	11	0	0	0	5	5	5	8	6	5	8	4	2	2	0	0	
8	4	3	0	0	3	0	6	6	0	0	0	0	0	0	0	0	0	10	10	10	20	25	219	236	240	240	217	192	22	10	5	5	6	13	8	16	13	8	11	4	4	3	0	0	
0	0	0	0	0	1	1	6	10	6	9	0	0	0	0	0	13	9	10	14	10	20	219	240	249	249	249	240	221	213	11	11	8	6	6	4	4	4	4	4	3	4	3	0	0	
0	0	0	0	1	6	0	5	5	5	10	15	9	9	5	7	13	13	13	20	23	210	223	249	249	249	249	247	240	221	30	10	10	10	7	6	3	3	3	3	3	4	3	11	0	
0	0	0	0	0	9	11	6	6	11	15	21	16	13	6	7	12	12	16	34	203	234	234	239	247	249	250	255	255	255	221	24	14	14	7	3	0	0	0	0	3	11	0	6	0	
1	0	1	0	6	9	11	5	5	5	11	15	15	18	7	7	6	6	19	55	224	238	238	239	238	233	237	255	255	255	255	30	10	7	5	5	0	0	0	0	0	0	0	0	0	
2	2	2	0	6	6	0	5	2	0	5	11	9	13	8	7	6	1	19	199	239	244	239	238	220	13	211	246	255	255	253	231	24	7	0	0	0	0	0	0	0	1	0	0	0	
2	8	2	0	0	0	2	9	9	5	5	11	8	12	12	7	6	0	6	199	243	247	243	238	35	8	37	211	246	253	252	234	30	7	0	0	0	0	0	0	0	1	0	0	0	
8	16	8	2	0	0	0	5	5	0	2	2	4	12	14	12	12	0	0	224	247	247	239	215	5	1	8	41	237	246	252	241	39	7	4	4	0	0	0	0	0	0	0	0	0	
23	23	21	13	0	0	0	0	2	0	0	2	6	10	12	12	12	1	29	254	255	255	243	215	1	0	5	37	237	246	253	253	241	39	9	8	0	0	0	0	0	1	3	0	1	
21	21	0	0	0	0	0	2	2	0	0	4	6	10	14	16	23	29	254	255	255	255	230	1	1	0	4	11	62	244	255	255	241	43	22	20	8	4	0	0	5	3	5	0	0	
23	0	0	0	0	0	0	0	0	0	0	3	6	9	9	16	29	236	254	255	254	233	43	19	1	1	3	4	12	244	255	255	241	43	22	20	8	8	0	0	3	0	3	0	0	
11	0	0	0	0	0	0	0	2	0	0	5	6	6	7	16	234	255	255	255	237	216	19	17	3	10	4	4	12	210	255	255	255	221	33	9	6	10	4	0	5	0	6	7	7	
0	0	0	0	0	0	0	2	9	5	3	3	1	6	8	24	238	255	255	238	233	0	16	0	17	18	10	4	10	28	221	255	255	221	34	0	0	6	0	0	3	0	5	3	7	
4	0	0	0	0	0	0	2	5	5	3	3	3	3	7	24	241	255	255	236	35	0	10	10	17	18	11	10	4	11	210	255	255	243	34	0	0	6	0	0	0	0	0	3	8	
0	0	0	0	6	6	6	6	5	4	3	1	0	1	11	235	248	255	255	238	17	0	0	0	17	17	11	11	4	11	210	255	255	251	225	17	0	0	0	0	0	0	3	3	7	
4	4	0	4	8	6	6	5	4	4	4	1	0	1	15	235	241	255	241	18	16	9	10	9	10	14	8	8	1	1	64	246	255	251	246	32	0	0	0	0	0	0	5	5	7	
15	6	5	6	9	9	9	0	0	0	4	3	3	14	226	248	255	255	240	28	18	17	10	10	8	8	8	8	4	13	238	250	251	255	250	229	14	7	11	7	11	15	10	15	27	
16	15	5	6	12	14	14	4	0	0	6	14	17	48	236	248	255	255	251	240	28	18	18	18	17	14	14	14	64	238	250	250	250	253	250	232	41	12	11	0	11	22	15	22	27	
16	6	6	6	6	12	4	0	0	0	9	17	48	239	239	248	251	248	248	251	233	233	234	234	234	234	243	250	250	248	250	250	250	253	250	245	193	12	12	0	15	24	17	22	27	
16	6	6	6	5	12	4	4	0	0	14	48	239	248	253	248	248	248	248	254	254	254	254	255	255	255	255	255	251	250	253	253	255	255	255	243	221	14	10	0	12	15	2	15	2	
3	3	3	4	1	4	4	4	4	4	35	217	248	248	245	245	238	240	248	251	254	254	254	255	255	255	255	255	251	245	245	250	253	250	247	238	228	27	0	0	0	8	0	2	2	
0	3	1	1	1	0	0	0	0	5	200	251	255	253	245	237	224	222	231	237	237	242	239	242	247	255	251	251	240	223	212	226	238	243	244	243	238	198	11	0	0	8	0	2	2	
0	1	0	0	0	0	0	5	10	35	230	255	255	255	245	40	29	29	46	46	46	231	223	223	223	223	223	28	10	8	1	18	215	239	243	243	242	230	16	0	0	2	0	2	2	
0	0	0	0	0	0	0	0	5	229	255	255	255	255	29	3	3	15	15	17	17	11	10	11	10	10	8	6	0	0	0	0	7	215	242	244	250	250	207	16	11	11	0	3	3	
0	0	0	0	0	0	0	1	10	230	250	255	255	221	19	0	0	3	2	4	15	7	6	7	4	4	0	0	0	1	1	2	13	24	242	250	254	255	242	42	15	14	0	2	0	
0	0	0	0	0	0	0	1	13	238	255	255	231	28	0	0	0	2	2	2	11	0	6	10	6	6	6	0	0	0	1	4	11	13	31	242	254	255	246	207	22	14	0	2	0	
0	0	0	5	5	1	0	2	229	255	255	255	221	28	0	0	0	0	0	0	15	1	4	15	15	15	7	1	0	0	0	1	7	11	17	227	255	255	254	234	23	15	0	2	0	
0	0	0	5	5	2	2	10	250	255	255	250	202	15	0	4	0	0	0	0	3	3	1	4	1	1	4	1	1	2	0	2	11	11	17	36	245	255	255	246	38	8	0	2	2	
0	0	0	0	5	5	2	12	255	255	255	255	42	15	4	6	2	4	2	0	1	0	1	3	8	7	4	4	0	0	0	0	7	7	11	24	232	246	255	246	38	8	0	2	2	
0	0	0	2	2	9	12	27	255	255	255	236	36	7	5	6	5	6	8	11	3	0	3	0	8	1	1	9	1	9	0	0	0	0	7	18	232	255	255	255	234	0	0	2	2	
