0	0	2	0	2	12	0	54	0	0	0	18	0	0	2	42	25	0	0	0	0	13	0	14	49	0	0	52	0	0	0	1	22	13	0	19	0	0	0	0	0	2	0	0	8
0	0	31	0	0	0	19	1	0	0	0	23	48	0	0	27	0	0	8	0	4	9	14	0	0	0	0	0	20	8	4	0	0	11	18	49	0	0	0	0	0	22	40	0	14
23	0	31	0	34	4	9	0	16	51	0	0	3	0	60	0	0	0	17	0	11	0	41	0	0	42	10	57	12	0	0	0	0	17	0	24	0	0	0	74	0	1	24	15	8
52	0	0	0	0	19	3	0	6	44	0	0	42	0	35	0	24	0	0	20	12	3	0	0	0	0	0	23	0	0	0	34	0	0	0	0	0	0	0	0	7	0	2	28	26
9	8	4	3	0	9	9	0	0	33	0	0	0	0	0	0	0	0	5	22	0	45	25	0	0	0	17	12	25	0	0	0	0	56	31	13	8	16	6	0	36	0	0	0	0
9	0	0	0	24	0	22	18	0	0	0	0	0	16	18	0	0	14	0	22	0	0	0	233	254	236	255	22	0	11	0	0	16	0	0	4	0	31	0	11	24	0	5	0	0
8	0	52	6	0	0	0	0	10	0	0	53	0	0	28	49	0	0	30	10	0	0	255	255	240	255	240	215	217	10	22	30	5	6	21	52	5	30	41	4	8	0	0	20	0
0	0	0	0	0	16	25	0	6	29	28	9	0	0	0	26	13	43	0	16	20	195	222	219	255	255	192	250	221	213	0	0	24	22	0	0	18	16	0	0	3	12	15	0	12
15	0	0	9	0	1	12	11	0	15	15	48	0	19	0	0	0	55	9	0	210	234	254	249	249	247	255	237	255	255	8	3	14	21	0	0	3	0	0	0	0	11	0	0	16
15	0	0	25	50	12	0	0	5	0	0	25	22	7	18	5	33	0	23	255	203	255	223	233	255	0	226	255	255	255	0	10	0	24	7	0	0	0	3	15	0	16	45	0	0
0	0	0	0	0	33	0	29	0	25	16	21	40	13	6	0	12	34	6	255	244	239	238	255	220	35	255	255	255	255	231	30	51	0	46	0	21	0	0	12	59	0	0	0	6
8	1	16	6	0	15	24	0	5	11	0	9	0	8	57	0	0	19	0	199	224	226	247	0	8	3	0	211	255	246	255	0	0	7	5	0	33	0	0	0	0	0	40	0	0
23	2	13	0	0	0	10	0	0	2	0	0	15	7	12	1	0	0	0	248	247	255	239	0	13	1	0	255	246	234	253	253	25	0	0	0	0	0	0	0	43	0	1	30	0
0	21	30	0	0	56	2	35	9	36	0	4	20	0	23	28	0	0	0	255	255	243	255	0	0	41	62	37	255	237	230	252	0	0	61	4	0	0	33	28	40	0	8	0	0
0	42	26	0	0	0	31	0	0	0	0	36	1	15	14	39	23	0	255	255	255	215	230	1	0	5	0	11	244	255	255	241	0	39	43	22	0	0	0	0	3	0	0	0	0
32	39	0	22	29	0	0	41	0	0	6	0	10	9	3	0	29	255	255	254	216	255	255	0	0	0	0	9	238	255	255	255	255	33	9	8	42	0	10	0	0	23	6	44	7
0	0	0	0	0	14	0	0	23	5	0	0	8	16	46	0	238	255	255	233	255	0	0	21	0	3	4	12	0	255	255	226	255	0	43	0	20	0	42	0	5	23	0	18	0
23	0	0	0	10	0	2	0	33	14	0	3	6	24	0	0	255	234	236	237	43	35	0	19	33	0	33	0	3	255	182	221	255	0	0	6	27	4	14	0	71	0	0	0	68
11	0	0	0	0	24	9	0	0	17	0	0	7	1	0	255	255	255	255	255	0	0	0	18	17	28	10	0	28	210	255	255	243	199	0	34	0	0	23	0	0	3	8	49	0
0	0	14	0	0	0	0	47	38	21	0	0	0	11	24	235	241	238	255	0	16	0	0	38	0	62	16	0	0	0	255	210	255	255	0	0	0	0	12	0	0	0	7	18	0
6	4	0	8	55	9	0	0	5	3	9	0	3	15	0	248	255	255	216	16	0	17	0	10	0	27	2	11	4	1	255	251	255	255	0	32	0	7	0	19	0	0	0	56	44
0	0	15	0	6	40	18	0	6	4	0	0	1	0	226	255	255	240	255	17	18	0	0	17	35	7	14	0	13	0	238	255	255	247	225	0	17	0	0	11	10	0	0	5	0
39	15	0	0	15	14	0	0	0	17	0	18	0	0	236	233	255	255	0	0	18	9	18	5	51	8	0	0	64	0	0	193	246	229	255	245	12	0	0	28	0	22	31	29	0
16	17	0	5	15	36	0	0	0	0	17	14	48	255	255	255	232	255	235	28	26	31	0	0	11	5	0	243	250	255	248	255	250	255	255	255	14	0	12	24	37	15	27	0	48
50	0	0	12	24	0	39	4	9	0	52	42	239	248	255	226	248	251	255	255	255	255	255	255	255	255	255	230	255	255	255	253	250	255	193	232	41	10	0	0	0	26	31	0	39
3	0	6	18	4	0	12	0	0	0	0	251	239	253	238	237	231	255	222	233	254	255	249	234	247	255	255	251	255	240	231	226	255	255	247	238	27	0	0	84	17	15	0	0	16
0	30	16	0	0	0	26	35	16	0	217	200	255	255	224	255	246	240	255	255	237	242	255	255	255	255	255	249	245	212	255	253	255	255	243	232	221	0	0	0	0	0	2	0	2
0	13	1	0	0	60	0	0	0	35	255	255	255	245	0	14	15	63	24	251	239	231	245	223	241	255	255	223	1	0	0	0	228	238	239	255	228	0	0	11	8	0	39	0	14
0	0	34	0	0	6	0	0	5	230	255	255	255	255	29	40	0	29	15	46	2	7	0	4	11	0	0	0	28	0	0	0	63	244	243	250	198	250	0	16	0	0	20	0	23
19	0	0	0	39	0	13	0	10	238	231	255	255	0	0	3	67	2	4	0	0	11	0	10	0	6	0	8	10	0	0	24	18	215	242	255	255	230	255	3	0	14	0	0	15
0	0	50	0	0	0	1	0	229	255	255	255	255	0	0	0	0	0	17	0	39	17	0	6	16	15	0	0	1	0	4	0	1	7	255	255	254	207	242	23	22	15	0	0	3
0	47	18	0	7	0	0	10	250	255	202	221	32	0	0	19	0	0	0	37	15	17	0	1	16	0	0	36	0	39	2	13	31	14	0	255	255	255	255	42	0	2	23	0	0
0	0	24	5	0	2	0	0	255	255	255	255	0	28	0	0	56	2	24	0	0	1	0	31	15	0	7	0	0	0	0	8	11	11	0	226	227	246	255	24	0	8	58	0	0
0	0	0	23	48	27	9	0	255	255	236	236	0	0	28	4	0	0	0	37	0	4	0	64	22	20	1	4	19	0	0	0	0	17	18	255	255	255	234	255	0	0	0	14	3
0	5	0	0	0	12	0	246	255	250	255	255	0	15	0	6	8	0	0	11	0	3	11	0	0	0	0	27	15	0	23	0	21	0	0	36	245	232	255	255	38	0	0	37	2
0	0	0	9	48	0	0	255	255	255	255	42	36	7	1	27	0	69	19	0	28	0	0	8	0	19	0	9	0	0	40	0	7	0	24	0	244	255	255	246	0	16	0	0	38
0	24	0	2	39	0	2	255	255	255	0	0	0	50	5	0	84	44	28	0	17	0	0	10	0	10	0	0	24	49	0	0	21	0	0	0	20	255	255	255	0	33	0	30	0
0	0	0	5	0	24	0	41	255	10	0	8	14	0	0	0	35	2	13	6	0	5	0	26	0	14	8	32	0	28	0	0	52	30	17	0	24	49	43	27	0	6	0	18	0
16	61	28	0	0	0	28	0	3	13	15	0	13	14	59	18	0	0	0	0	0	37	42	14	7	32	21	0	0	0	0	0	0	17	7	0	7	1	16	5	3	14	6	25	0
9	0	0	89	54	1	14	30	0	16	27	0	0	0	0	3	0	28	10	0	24	0	6	0	50	0	0	0	9	0	0	19	0	0	0	0	0	32	0	49	7	0	10	19	3
0	17	0	28	2	0	8	22	0	0	12	27	9	16	0	8	0	0	0	12	0	0	0	0	19	0	0	18	0	0	0	1	23	30	6	0	49	0	0	34	74	0	22	30	34
30	12	4	29	0	0	19	0	44	10	0	0	0	0	31	18	2	0	36	8	0	39	0	29	13	12	0	0	20	7	19	18	13	0	35	14	6	21	51	13	0	0	0	36	0
24	0	0	0	0	0	0	0	0	8	0	0	30	0	0	0	0	27	13	13	0	17	0	0	0	37	25	2	16	0	4	0	0	0	10	0	0	37	0	0	18	27	0	13	0
27	0	73	0	28	39	0	5	0	20	0	55	0	13	0	15	0	24	0	0	0	11	42	0	14	0	0	13	7	0	0	0	0	0	0	0	0	21	43	19	0	56	14	2	7
